EH_ID,experiment,labels,weight,weight_dpi0,relative_weight,fecweight_flot,dpi,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution,Locality,Genome,mouse_strain,IDD,Dam,Gen,Sir,IDS,Sir.1,Gen.1,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen.2,Wean,BW10,BW20,Clip,Departure,NOTE,Parent1,Parent2,HybridStatus,ageAtdpi0expe1a,Batch,primary_infection,InfectionStrain,challenge_infection,contamination,infection_history,InfectionHistoryTotal,Conc_DNA,Unit,A260,A280,X260.280,X260.230,Fecal_status,Mouse_status,fecweight_DNA,Extraction_round_1,Extraction_round_2,Faeces_for_RNA.Extraction,mean_Neubauer,oocysts.per.tube,OPG,Total_DNA,Microbial_density,Count.Tm,Infection,Well,Well.Position,Omit,Target,Task,Reporter,Quencher,Amp.Status,Amp.Score,Curve.Quality,Result.Quality.Issues,Ct,Cq.Confidence,Cq.Mean,Cq.SD,Auto.Threshold,Threshold,Auto.Baseline,Baseline.Start,Baseline.End,Tm,Tm2,Tm3,Tm4,plate
LM0179,E57,E57aACD,18.93,18.93,100,2.31,0,0,0,0,0,1, PWD x BUSNA , mus x mus , PWD_BUSNA , SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F ,F1,1F,4.73,8.44,P3,NA,NA, PWD , BUSNA , outbred hybrids ,15.4285714285714,1,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM0179,E57,E57aMQS,19.79,18.93,104.543053354464,0,1,NA,NA,NA,NA,1, PWD x BUSNA , mus x mus , PWD_BUSNA , SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F ,F1,1F,4.73,8.44,P3,NA,NA, PWD , BUSNA , outbred hybrids ,15.4285714285714,1,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM0179,E57,E57aHUY,19.44,18.93,102.694136291601,0,2,NA,NA,NA,NA,1, PWD x BUSNA , mus x mus , PWD_BUSNA , SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F ,F1,1F,4.73,8.44,P3,NA,NA, PWD , BUSNA , outbred hybrids ,15.4285714285714,1,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM0179,E57,E57aHKT,19.03,18.93,100.528262017961,0,3,NA,NA,NA,NA,1, PWD x BUSNA , mus x mus , PWD_BUSNA , SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F ,F1,1F,4.73,8.44,P3,NA,NA, PWD , BUSNA , outbred hybrids ,15.4285714285714,1,E88,NA,NA,NA,NA,NA,51,ng/µl,1.019,2.846,0.36,0.3,NA,NA,0.0109,with_beads,with_beads,NA,NA,NA,NA,2.04,0.187155963302752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM0179,E57,E57aELN,19.45,18.93,102.746962493397,1.71,4,0,0,0,0,1, PWD x BUSNA , mus x mus , PWD_BUSNA , SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F ,F1,1F,4.73,8.44,P3,NA,NA, PWD , BUSNA , outbred hybrids ,15.4285714285714,1,E88,NA,NA,NA,NA,NA,-140.3,ng/µl,-2.805,0.757,-3.71,-0.8,NA,NA,0.058,with_beads,with_beads,NA,0,0,0,-5.612,-0.0967586206896552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM0179,E57,E57aVXY,19.22,18.93,101.531959852087,1.9,5,0,0,0,0,1, PWD x BUSNA , mus x mus , PWD_BUSNA , SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F ,F1,1F,4.73,8.44,P3,NA,NA, PWD , BUSNA , outbred hybrids ,15.4285714285714,1,E88,NA,NA,NA,NA,NA,-102.8,ng/µl,-2.055,1.153,-1.78,-0.41,NA,NA,0.0374,with_beads,with_beads,NA,0,0,0,-4.112,-0.109946524064171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM0179,E57,E57aRVX,19.34,18.93,102.16587427364,0.85,6,0,0,0,0,1, PWD x BUSNA , mus x mus , PWD_BUSNA , SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F ,F1,1F,4.73,8.44,P3,NA,NA, PWD , BUSNA , outbred hybrids ,15.4285714285714,1,E88,NA,NA,NA,NA,NA,33.9,ng/µl,0.677,0.39,1.74,1.05,NA,NA,0.0389,with_beads,with_beads,NA,0,0,0,1.356,0.0348586118251928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM0179,E57,E57aBEJ,18.41,18.93,97.2530375066033,0.74,7,5,5,8,13,1, PWD x BUSNA , mus x mus , PWD_BUSNA , SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F ,F1,1F,4.73,8.44,P3,NA,NA, PWD , BUSNA , outbred hybrids ,15.4285714285714,1,E88,NA,NA,NA,NA,NA,155.2,ng/µl,3.103,1.776,1.75,0.69,NA,NA,0.0248,with_beads,with_beads,NA,7.75,77500,104729.72972973,6.208,0.250322580645161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM0179,E57,E57aOQZ,17.87,18.93,94.4004226096144,0.23,8,25,21,34,23,1, PWD x BUSNA , mus x mus , PWD_BUSNA , SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F ,F1,1F,4.73,8.44,P3,NA,NA, PWD , BUSNA , outbred hybrids ,15.4285714285714,1,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diarrhea,NA,NA,NA,NA,NA,25.75,257500,1119565.2173913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM0179,E57,E57aGTY,17.62,18.93,93.0797675647121,0.51,9,43,37,56,49,1, PWD x BUSNA , mus x mus , PWD_BUSNA , SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F ,F1,1F,4.73,8.44,P3,NA,NA, PWD , BUSNA , outbred hybrids ,15.4285714285714,1,E88,NA,NA,NA,NA,NA,198.2,ng/µl,3.965,2.19,1.81,2.13,NA,NA,0.0363,with_beads,with_beads,NA,46.25,462500,906862.745098039,7.928,0.218402203856749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
