,labels,Tm,Infection,EH_ID,dpi,OPG,Genome_copies_gFaeces,weightloss,relative_weight,weight_dpi0,weight,Genome_copies_ngDNA,Cq_mean,Conc_DNA,fecweight_DNA,DNA_sample,Genome_copies,DNA_g_feces
3,E57bxALR,75.5520706176758,Negative,LM0259,0,0,0,0,100,28.89,28.89,0,32.748039304203,144,0.0777,5760,0,74131.2741312741
37,E57byBIW,86.8901596069336,Negative,LM0269,0,0,0,0,100,21.6,21.6,0,32.2174079661359,136.8,0.027,5472,0,202666.666666667
57,E57byDKM,87.2177124023438,Negative,LM0265,0,0,0,0,100,26.43,26.43,0,31.9056571540327,295,0.0591,11800,0,199661.590524535
79,E57byGQU,80.2477874755859,Negative,LM0270,0,0,0,0,100,23.89,23.89,0,31.5220114333611,135,0.074,5400,0,72972.972972973
88,E57byHQZ,0,Negative,LM0262,0,0,0,0,100,21.13,21.13,0,,204.3,0.0474,8172,0,172405.063291139
90,E57byIMP,78.4053497314453,Negative,LM0280,0,0,0,0,100,17.57,17.57,0,30.4392006125615,215.8,0.0496,8632,0,174032.258064516
105,E57byLOR,75.5283355712891,,LM0284,0,0,424539.931022531,0,100,22.39,22.39,5.63400936272343,29.5392961948199,82.7,0.0439,3308,281.700468136171,75353.0751708428
42,E57byBNQ,75.5283355712891,Positive,LM0279,0,0,72696677.872364,0,100,21.35,21.35,337.170841350542,21.9873862932391,274.9,0.051,10996,16858.5420675271,215607.843137255
12,E57bxHJU,75.0988922119141,Positive,LM0258,0,0,247457169.207944,0,100,19.74,19.74,2154.98838113553,18.5638245601797,126.6,0.0441,5064,107749.419056777,114829.931972789
46,E57byCHL,0,Negative,LM0294,0,0,,0,100,17.02,17.02,0,,,,,0,
49,E57byCKT,0,Negative,LM0260,0,0,,0,100,29.02,29.02,0,,,,,0,
53,E57byCRV,0,Negative,LM0285,0,0,,0,100,19.43,19.43,0,,,,,0,
76,E57byGIR,0,Negative,LM0291,0,0,,0,100,24.85,24.85,0,,,,,0,
85,E57byHKV,0,Negative,LM0287,0,0,,0,100,18.83,18.83,0,,,,,0,
103,E57byLNO,0,Negative,LM0263,0,0,,0,100,21.25,21.25,0,,,,,0,
7,E57bxFGV,76.4455718994141,Negative,LM0259,1,0,0,-2.73451021114572,102.734510211146,28.89,29.68,0,28.0590078664722,105.7,0.0716,4228,0,59050.2793296089
18,E57bxOPZ,74.9361572265625,Positive,LM0258,1,0,0,2.83687943262411,97.1631205673759,19.74,19.18,3.26939176608426,30.5437226699644,155.8,0.0686,6232,163.469588304213,90845.4810495627
71,E57byFMN,75.8418045043945,Negative,LM0284,1,0,0,2.27780259044217,97.7221974095578,22.39,21.88,0,29.4259120385144,138.6,0.0557,5544,0,99533.2136445242
81,E57byHIY,77.6398315429688,Negative,LM0279,1,0,0,2.29508196721312,97.7049180327869,21.35,20.86,0,29.7111478536191,220.2,0.0562,8808,0,156725.978647687
82,E57byHJW,87.0664672851563,Negative,LM0269,1,0,0,-2.82407407407407,102.824074074074,21.6,22.21,0,32.0527000604188,182.9,0.0549,7316,0,133260.473588342
84,E57byHKS,82.0703125,Negative,LM0262,1,0,0,-1.89304306672978,101.89304306673,21.13,21.53,0,32.9802452682133,204.5,0.0542,8180,0,150922.509225092
122,E57byOSY,0,Negative,LM0280,1,0,0,-0.626067159931699,100.626067159932,17.57,17.68,0,,,,,0,
123,E57byOSZ,0,Negative,LM0270,1,0,0,4.06027626622017,95.9397237337798,23.89,22.92,0,,147.4,0.0467,5896,0,126252.676659529
124,E57byPQY,80.0838317871094,Negative,LM0265,1,0,0,1.2107453651154,98.7892546348846,26.43,26.11,0,34.0019678262508,34.5,0.0573,1380,0,24083.7696335079
131,E57byRSU,78.0922927856445,Negative,LM0260,1,0,0,-2.75671950379049,102.75671950379,29.02,29.82,0,28.0188204858857,167.3,0.0658,6692,0,101702.127659574
20,E57byACW,0,Negative,LM0285,1,0,,0.874935666495101,99.1250643335049,19.43,19.26,0,,,,,0,
23,E57byAKS,0,Negative,LM0263,1,0,,-2.68235294117647,102.682352941176,21.25,21.82,0,,,,,0,
55,E57byDFL,0,Negative,LM0287,1,0,,-1.00902814657462,101.009028146575,18.83,19.02,0,,,,,0,
64,E57byEMP,0,Negative,LM0291,1,0,,0.201207243460767,99.7987927565392,24.85,24.8,0,,,,,0,
132,E57byRSW,0,Negative,LM0294,1,0,,-0.235017626321969,100.235017626322,17.02,17.06,0,,,,,0,
2,E57bxAFV,76.5965194702148,Negative,LM0259,2,0,0,-1.24610591900311,101.246105919003,28.89,29.25,0,29.7082603706168,108.4,0.0606,4336,0,71551.1551155115
4,E57bxCGS,72.0858154296875,Negative,LM0258,2,0,0,1.3677811550152,98.6322188449848,19.74,19.47,0,32.1210870364069,234.5,0.0481,9380,0,195010.395010395
25,E57byAOZ,83.7168045043945,Negative,LM0270,2,0,0,-2.76266220175806,102.762662201758,23.89,24.55,0,33.2517794965536,27.8,0.0552,1112,0,20144.9275362319
39,E57byBKY,75.5622100830078,Negative,LM0265,2,0,0,0.491865304578127,99.5081346954219,26.43,26.3,0,31.4673324970269,27.6,0.0476,1104,0,23193.2773109244
