"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Genome_copies_gFaeces","0","1",23,22,246.5,0.876,1,"ns",6364871415.21248,1,2
"2","Genome_copies_gFaeces","0","2",23,23,230,0.415,1,"ns",7111584951.13741,1,3
"3","Genome_copies_gFaeces","0","3",23,18,138,0.058,0.638,"ns",7858298487.06234,1,4
"4","Genome_copies_gFaeces","0","4",23,23,141.5,0.006,0.066,"ns",8605012022.98726,1,5
"5","Genome_copies_gFaeces","0","5",23,21,107.5,0.001,0.011,"*",9351725558.91219,1,6
"6","Genome_copies_gFaeces","0","6",23,21,54,6.01e-06,6.611e-05,"****",10098439094.8371,1,7
"7","Genome_copies_gFaeces","0","7",23,20,19.5,1.52e-07,1.672e-06,"****",10845152630.762,1,8
"8","Genome_copies_gFaeces","0","8",23,12,5,1.61e-06,1.771e-05,"****",11591866166.687,1,9
"9","Genome_copies_gFaeces","0","9",23,22,36,4.34e-07,4.774e-06,"****",12338579702.6119,1,10
"10","Genome_copies_gFaeces","0","10",23,22,100.5,0.000302,0.003322,"**",13085293238.5368,1,11
"11","Genome_copies_gFaeces","0","11",23,25,138.5,0.001,0.011,"*",13832006774.4618,1,12
