"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","OPG","0","1",26,26,416,0.011,0.121,"ns",3137468.24928,1,2
"2","OPG","0","2",26,26,416,0.011,0.121,"ns",3507241.175088,1,3
"3","OPG","0","3",26,26,416,0.011,0.121,"ns",3877014.100896,1,4
"4","OPG","0","4",26,26,416,0.011,0.121,"ns",4246787.026704,1,5
"5","OPG","0","5",26,26,416,0.011,0.121,"ns",4616559.952512,1,6
"6","OPG","0","6",26,26,416,0.011,0.121,"ns",4986332.87832,1,7
"7","OPG","0","7",26,26,252,0.11,1,"ns",5356105.804128,1,8
"8","OPG","0","8",26,26,16,1.67e-09,1.837e-08,"****",5725878.729936,1,9
"9","OPG","0","9",26,26,3,5.96e-10,6.556e-09,"****",6095651.655744,1,10
"10","OPG","0","10",26,26,39,3.83e-08,4.213e-07,"****",6465424.581552,1,11
"11","OPG","0","11",26,26,164,0.001,0.011,"*",6835197.50736,1,12
