"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","weightloss","0","1",14,25,224,0.146,1,"ns",21.75152,1,2
"2","weightloss","0","2",14,25,238,0.061,0.671,"ns",24.315092,1,3
"3","weightloss","0","3",14,25,182,0.846,1,"ns",26.878664,1,4
"4","weightloss","0","4",14,25,266,0.007,0.077,"ns",29.442236,1,5
"5","weightloss","0","5",14,25,224,0.146,1,"ns",32.005808,1,6
"6","weightloss","0","6",14,25,210,0.301,1,"ns",34.56938,1,7
"7","weightloss","0","7",14,25,98,0.022,0.242,"ns",37.132952,1,8
"8","weightloss","0","8",14,25,70,0.002,0.022,"*",39.696524,1,9
"9","weightloss","0","9",14,25,42,7.14e-05,0.0007854,"***",42.260096,1,10
"10","weightloss","0","10",14,25,112,0.061,0.671,"ns",44.823668,1,11
"11","weightloss","0","11",14,25,126,0.146,1,"ns",47.38724,1,12
